cmd_id,datetime,value
56,"2023-09-07 21:20:00",36261704.000000000
56,"2023-09-08 08:25:00",36265166.857142857
56,"2023-09-08 09:00:00",36265175.750000000
56,"2023-09-08 10:00:00",36265177.000000000
56,"2023-09-08 11:00:00",36265177.000000000
56,"2023-09-08 12:00:00",36265177.000000000
56,"2023-09-08 13:00:00",36265177.000000000
56,"2023-09-08 14:00:00",36265177.000000000
56,"2023-09-08 15:00:00",36265177.000000000
56,"2023-09-08 16:00:00",36265177.000000000
56,"2023-09-08 17:00:00",36265177.000000000
56,"2023-09-08 18:00:00",36265177.000000000
56,"2023-09-08 19:00:00",36265177.000000000
56,"2023-09-08 20:00:00",36265177.000000000
56,"2023-09-08 21:00:00",36265177.000000000
56,"2023-09-08 22:00:00",36265177.000000000
56,"2023-09-08 23:00:00",36265177.000000000
56,"2023-09-09 00:00:00",36265177.000000000
56,"2023-09-09 01:00:00",36265177.000000000
56,"2023-09-09 02:00:00",36265177.000000000
56,"2023-09-09 03:00:00",36265177.000000000
56,"2023-09-09 03:05:00",36265177.000000000
56,"2023-09-09 04:00:00",36265177.000000000
56,"2023-09-09 05:00:00",36265209.750000000
56,"2023-09-09 06:00:00",36265610.333333333
56,"2023-09-09 07:00:00",36266110.000000000
56,"2023-09-09 08:00:00",36266428.333333333
56,"2023-09-09 09:00:00",36266448.000000000
56,"2023-09-09 10:00:00",36266448.000000000
56,"2023-09-09 11:00:00",36266448.000000000
56,"2023-09-09 12:00:00",36266448.000000000
56,"2023-09-09 13:00:00",36266448.000000000
56,"2023-09-09 14:00:00",36266448.000000000
56,"2023-09-09 15:00:00",36266448.000000000
56,"2023-09-09 16:00:00",36266448.000000000
56,"2023-09-09 17:00:00",36266449.750000000
56,"2023-09-09 18:00:00",36266471.166666666
56,"2023-09-09 19:00:09",36266498.000000000
56,"2023-09-09 20:00:06",36266498.000000000
56,"2023-09-09 21:00:09",36266498.000000000
56,"2023-09-09 22:00:07",36266498.000000000
56,"2023-09-09 23:00:06",36266498.000000000
56,"2023-09-10 00:00:11",36266498.000000000
56,"2023-09-10 01:00:10",36266722.916666666
56,"2023-09-10 02:00:10",36267230.500000000
56,"2023-09-10 03:00:06",36267497.000000000
56,"2023-09-10 03:05:09",36267744.818181818
56,"2023-09-10 04:00:09",36268227.333333333
56,"2023-09-10 05:00:09",36268728.083333333
56,"2023-09-10 06:00:10",36269195.833333333
56,"2023-09-10 07:00:06",36269662.666666666
56,"2023-09-10 08:00:12",36270280.666666666
56,"2023-09-10 09:00:10",36270520.000000000
56,"2023-09-10 10:00:09",36270520.166666666
56,"2023-09-10 11:00:10",36270521.916666666
56,"2023-09-10 12:00:10",36270526.833333333
56,"2023-09-10 13:00:10",36270531.583333333
56,"2023-09-10 14:00:09",36270532.000000000
56,"2023-09-10 15:00:09",36270532.692307692
56,"2023-09-10 16:00:10",36270534.000000000
56,"2023-09-10 17:00:10",36270534.333333333
56,"2023-09-10 18:00:13",36270535.000000000
56,"2023-09-10 19:00:08",36270535.000000000
56,"2023-09-10 20:00:10",36270535.000000000
56,"2023-09-10 21:00:09",36271297.666666666
56,"2023-09-10 22:00:09",36272130.000000000
56,"2023-09-15 07:58:46",36288719.000000000
56,"2023-09-15 08:00:09",36288867.692307692
56,"2023-09-15 09:00:10",36288985.750000000
56,"2023-09-15 10:00:06",36288997.000000000
56,"2023-09-15 11:00:12",36288998.916666666
56,"2023-09-15 12:00:10",36289001.833333333
56,"2023-09-15 13:00:09",36289002.166666666
56,"2023-09-15 14:00:08",36289004.666666666
56,"2023-09-15 15:00:09",36289005.000000000
56,"2023-09-15 16:00:08",36289005.000000000
56,"2023-09-15 17:00:08",36289005.416666666
56,"2023-09-15 18:00:15",36289006.000000000
56,"2023-09-15 19:00:08",36289006.000000000
56,"2023-09-15 20:00:09",36289006.000000000
56,"2023-09-15 21:00:08",36289006.000000000
56,"2023-09-15 22:00:09",36289006.000000000
