cmd_id,datetime,value
58,"2023-09-07 21:20:00",35928742.000000000
58,"2023-09-08 08:25:00",35931304.000000000
58,"2023-09-08 09:00:00",35931304.000000000
58,"2023-09-08 10:00:00",35931304.000000000
58,"2023-09-08 11:00:00",35931304.000000000
58,"2023-09-08 12:00:00",35931304.000000000
58,"2023-09-08 13:00:00",35931304.000000000
58,"2023-09-08 14:00:00",35931304.000000000
58,"2023-09-08 15:00:00",35931304.000000000
58,"2023-09-08 16:00:00",35931304.000000000
58,"2023-09-08 17:00:00",35931304.000000000
58,"2023-09-08 18:00:00",35931304.000000000
58,"2023-09-08 19:00:00",35931304.000000000
58,"2023-09-08 20:00:00",35931304.000000000
58,"2023-09-08 21:00:00",35931304.000000000
58,"2023-09-08 22:00:00",35931304.000000000
58,"2023-09-08 23:00:00",35931304.000000000
58,"2023-09-09 00:00:00",35931304.000000000
58,"2023-09-09 01:00:00",35931304.000000000
58,"2023-09-09 02:00:00",35931304.000000000
58,"2023-09-09 03:00:00",35931304.000000000
58,"2023-09-09 03:05:00",35931304.000000000
58,"2023-09-09 04:00:00",35931304.000000000
58,"2023-09-09 05:00:00",35931336.750000000
58,"2023-09-09 06:00:00",35931508.000000000
58,"2023-09-09 07:00:00",35931508.000000000
58,"2023-09-09 08:00:00",35931508.000000000
58,"2023-09-09 09:00:00",35931508.000000000
58,"2023-09-09 10:00:00",35931508.000000000
58,"2023-09-09 11:00:00",35931508.000000000
58,"2023-09-09 12:00:00",35931508.000000000
58,"2023-09-09 13:00:00",35931508.000000000
58,"2023-09-09 14:00:00",35931508.000000000
58,"2023-09-09 15:00:00",35931508.000000000
58,"2023-09-09 16:00:00",35931508.000000000
58,"2023-09-09 17:00:00",35931508.000000000
58,"2023-09-09 18:00:00",35931508.000000000
58,"2023-09-09 19:00:09",35931508.000000000
58,"2023-09-09 20:00:06",35931508.000000000
58,"2023-09-09 21:00:09",35931508.000000000
58,"2023-09-09 22:00:07",35931508.000000000
58,"2023-09-09 23:00:06",35931508.000000000
58,"2023-09-10 00:00:11",35931508.000000000
58,"2023-09-10 01:00:10",35931732.916666666
58,"2023-09-10 02:00:10",35932240.500000000
58,"2023-09-10 03:00:06",35932507.000000000
58,"2023-09-10 03:05:09",35932754.818181818
58,"2023-09-10 04:00:09",35933237.333333333
58,"2023-09-10 05:00:09",35933738.083333333
58,"2023-09-10 06:00:10",35934007.916666666
58,"2023-09-10 07:00:06",35934008.000000000
58,"2023-09-10 08:00:12",35934008.000000000
58,"2023-09-10 09:00:10",35934008.000000000
58,"2023-09-10 10:00:09",35934008.000000000
58,"2023-09-10 11:00:10",35934008.000000000
58,"2023-09-10 12:00:10",35934008.000000000
58,"2023-09-10 13:00:10",35934008.000000000
58,"2023-09-10 14:00:09",35934008.000000000
58,"2023-09-10 15:00:09",35934008.000000000
58,"2023-09-10 16:00:10",35934008.000000000
58,"2023-09-10 17:00:10",35934008.000000000
58,"2023-09-10 18:00:13",35934008.000000000
58,"2023-09-10 19:00:08",35934008.000000000
58,"2023-09-10 20:00:10",35934008.000000000
58,"2023-09-10 21:00:09",35934008.000000000
58,"2023-09-10 22:00:09",35934103.666666666
58,"2023-09-15 07:58:46",35943462.000000000
58,"2023-09-15 08:00:09",35943462.000000000
58,"2023-09-15 09:00:10",35943462.000000000
58,"2023-09-15 10:00:06",35943462.000000000
58,"2023-09-15 11:00:12",35943462.000000000
